,ID,Name,Email,Units,Program,Level,NumAbsences,AbsenceDates...
10,3255,"Mort,Kris",mort@cpts122.edu,4,CS,Senior,0
9,1222,"Willis,Bruce",brucewillis@cpts122.edu,0,CS,Sophomore,0
8,1122,"Smith,Jane",jane@cpts122.edu,4,CS,Sophomore,0
7,7759,"Sam,Theo",samt@cpts122.edu,4,EE,Sophomore,0
6,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE,Graduate,0
5,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS,Freshman,1,03-15-2006
4,4478,"Art,Bruce",bart@cpts122.edu,0,CPTE,Freshman,0
3,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE,Junior,0
2,8147,"Beck,Sara",sara@cpts122.edu,4,EE,Junior,0
1,1111,"Smith,John",smithj@cpts122.edu,4,CS,Freshman,2,04-08-2025,01-01-1990
